epoch,step,train_loss,train_mse,train_r2,val_loss,val_mse,val_r2
24,624,,0.16878367960453033,0.632398247718811,,,
25,649,0.13841931521892548,,,,,
25,649,,,,0.17148417234420776,0.17148417234420776,0.597862958908081
25,649,,0.16459695994853973,0.6415168046951294,,,
26,674,,,,0.16686512529850006,0.16686512529850006,0.6086947917938232
26,674,,0.1595466136932373,0.65251624584198,,,
27,699,0.2013283371925354,,,,,
27,699,,,,0.1616424024105072,0.1616424024105072,0.620942234992981
27,699,,0.16165609657764435,0.6479218006134033,,,
28,724,,,,0.1646120697259903,0.1646120697259903,0.6139782667160034
28,724,,0.15729370713233948,0.6574228405952454,,,
29,749,0.23901571333408356,,,,,
29,749,,,,0.18543551862239838,0.18543551862239838,0.5651464462280273
29,749,,0.1598145067691803,0.6519326567649841,,,
30,774,,,,0.16652606427669525,0.16652606427669525,0.6094898581504822
30,774,,0.16151408851146698,0.6482310891151428,,,
31,799,0.11085598170757294,,,,,
31,799,,,,0.1589653193950653,0.1589653193950653,0.627220094203949
31,799,,0.1592797189950943,0.6530974507331848,,,
32,824,,,,0.15706275403499603,0.15706275403499603,0.6316816806793213
32,824,,0.1512574404478073,0.6705695390701294,,,
33,849,0.10737472772598267,,,,,
33,849,,,,0.1559332013130188,0.1559332013130188,0.6343305110931396
33,849,,0.1474442034959793,0.6788744926452637,,,
34,874,,,,0.14932943880558014,0.14932943880558014,0.649816632270813
34,874,,0.14615117013454437,0.6816906929016113,,,
35,899,0.06686218827962875,,,,,
35,899,,,,0.15444514155387878,0.15444514155387878,0.6378201246261597
35,899,,0.14357292652130127,0.6873059272766113,,,
36,924,,,,0.15706779062747955,0.15706779062747955,0.6316698789596558
36,924,,0.14680084586143494,0.6802756786346436,,,
37,949,0.15684595704078674,,,,,
37,949,,,,0.14644509553909302,0.14644509553909302,0.6565805077552795
37,949,,0.1480330526828766,0.6775920391082764,,,
38,974,,,,0.14923657476902008,0.14923657476902008,0.6500344276428223
38,974,,0.14034809172153473,0.6943295001983643,,,
39,999,0.1886054426431656,,,,,
39,999,,,,0.14843833446502686,0.14843833446502686,0.6519063115119934
39,999,,0.13870863616466522,0.6979001760482788,,,
40,1024,,,,0.14002223312854767,0.14002223312854767,0.6716424226760864
40,1024,,0.14181049168109894,0.6911444664001465,,,
41,1049,0.08508044481277466,,,,,
41,1049,,,,0.14427512884140015,0.14427512884140015,0.661669135093689
41,1049,,0.1385139524936676,0.6983240842819214,,,
42,1074,,,,0.15204136073589325,0.15204136073589325,0.6434570550918579
42,1074,,0.12974438071250916,0.7174237966537476,,,
43,1099,0.10156916081905365,,,,,
43,1099,,,,0.1347847580909729,0.1347847580909729,0.6839244365692139
43,1099,,0.13214051723480225,0.7122051119804382,,,
44,1124,,,,0.13146211206912994,0.13146211206912994,0.691716194152832
44,1124,,0.13063643872737885,0.7154809236526489,,,
45,1149,0.14217063784599304,,,,,
45,1149,,,,0.13011130690574646,0.13011130690574646,0.6948838829994202
